,training_iterations,random_first_wins,random_second_wins,random_first_draws,random_second_draws,random_first_losses,random_second_losses,previous_first_wins,previous_second_wins,previous_first_draws,previous_second_draws,previous_first_losses,previous_second_losses
0,0,0.1,0.3,0.0,0.0,0.9,0.7,0.0,0.0,0.0,0.0,0.0,0.0
1,10000,0.4,0.45,0.0,0.0,0.6,0.55,0.95,0.9,0.0,0.0,0.05,0.1
2,20000,0.4,0.6,0.0,0.0,0.6,0.4,0.95,1.0,0.0,0.0,0.05,0.0
3,30000,0.55,0.8,0.0,0.0,0.45,0.2,0.2,0.9,0.0,0.0,0.8,0.1
4,40000,0.5,0.8,0.0,0.0,0.5,0.2,0.9,0.8,0.0,0.0,0.1,0.2
5,50000,0.65,0.8,0.0,0.0,0.35,0.2,0.95,0.9,0.0,0.0,0.05,0.1
6,60000,0.8,0.85,0.0,0.0,0.2,0.15,0.05,0.9,0.0,0.0,0.95,0.1
7,70000,0.55,1.0,0.0,0.0,0.45,0.0,0.8,0.95,0.0,0.0,0.2,0.05
8,80000,0.9,0.95,0.0,0.0,0.1,0.05,1.0,0.15,0.0,0.0,0.0,0.85
9,90000,0.85,0.95,0.0,0.0,0.15,0.05,0.9,0.95,0.0,0.0,0.1,0.05
10,100000,0.95,1.0,0.0,0.0,0.05,0.0,1.0,0.95,0.0,0.0,0.0,0.05
11,110000,0.95,1.0,0.0,0.0,0.05,0.0,1.0,0.95,0.0,0.0,0.0,0.05
12,120000,1.0,1.0,0.0,0.0,0.0,0.0,0.95,1.0,0.0,0.0,0.05,0.0
13,130000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.95,0.0,0.0,0.0,0.05
14,140000,1.0,1.0,0.0,0.0,0.0,0.0,0.95,0.95,0.0,0.0,0.05,0.05
15,150000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
16,160000,1.0,1.0,0.0,0.0,0.0,0.0,0.95,1.0,0.0,0.0,0.05,0.0
17,170000,1.0,1.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.8,0.0
18,180000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
19,190000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.95,0.0,0.0,0.0,0.05
20,200000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
21,210000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
22,220000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
